,Country/Region,Lat,Long,date,date_confirmed_cases
0,Afghanistan,33.93911,67.709953,1/22/20,0.0
1,Albania,41.1533,20.1683,1/22/20,0.0
2,Algeria,28.0339,1.6596,1/22/20,0.0
3,Andorra,42.5063,1.5218,1/22/20,0.0
4,Angola,-11.2027,17.8739,1/22/20,0.0
5,Argentina,-38.4161,-63.6167,1/22/20,0.0
6,Armenia,40.0691,45.0382,1/22/20,0.0
7,Australia,-32.106275000000004,141.35548749999998,1/22/20,0.0
8,Austria,47.5162,14.5501,1/22/20,0.0
9,Azerbaijan,40.1431,47.5769,1/22/20,0.0
10,Bahamas,25.025885,-78.035889,1/22/20,0.0
11,Bahrain,26.0275,50.55,1/22/20,0.0
12,Bangladesh,23.685,90.3563,1/22/20,0.0
13,Barbados,13.1939,-59.5432,1/22/20,0.0
14,Belarus,53.7098,27.9534,1/22/20,0.0
15,Belgium,50.8333,4.469936,1/22/20,0.0
16,Benin,9.3077,2.3158,1/22/20,0.0
17,Bolivia,-16.2902,-63.5887,1/22/20,0.0
18,Bosnia and Herzegovina,43.9159,17.6791,1/22/20,0.0
19,Botswana,-22.3285,24.6849,1/22/20,0.0
20,Brazil,-14.235,-51.9253,1/22/20,0.0
21,Brunei,4.5353,114.7277,1/22/20,0.0
22,Bulgaria,42.7339,25.4858,1/22/20,0.0
23,Burkina Faso,12.2383,-1.5616,1/22/20,0.0
24,Burma,21.9162,95.956,1/22/20,0.0
25,Burundi,-3.3731,29.9189,1/22/20,0.0
26,Cabo Verde,16.5388,-23.0418,1/22/20,0.0
27,Cambodia,11.55,104.9167,1/22/20,0.0
28,Cameroon,3.8480000000000003,11.5021,1/22/20,0.0
29,Canada,45.61112857142857,-79.96359285714286,1/22/20,0.0
30,Central African Republic,6.6111,20.9394,1/22/20,0.0
31,Chad,15.4542,18.7322,1/22/20,0.0
32,Chile,-35.6751,-71.543,1/22/20,0.0
33,China,32.887645454545456,111.78599090909094,1/22/20,16.606060606060606
34,Colombia,4.5709,-74.2973,1/22/20,0.0
35,Comoros,-11.6455,43.3333,1/22/20,0.0
36,Congo (Brazzaville),-0.228,15.8277,1/22/20,0.0
37,Congo (Kinshasa),-4.0383,21.7587,1/22/20,0.0
38,Costa Rica,9.7489,-83.7534,1/22/20,0.0
39,Cote d'Ivoire,7.54,-5.5471,1/22/20,0.0
40,Croatia,45.1,15.2,1/22/20,0.0
41,Cuba,21.521757,-77.78116700000002,1/22/20,0.0
42,Cyprus,35.1264,33.4299,1/22/20,0.0
43,Czechia,49.8175,15.472999999999999,1/22/20,0.0
44,Denmark,63.287800000000004,-13.338100000000003,1/22/20,0.0
45,Diamond Princess,0.0,0.0,1/22/20,0.0
46,Djibouti,11.8251,42.5903,1/22/20,0.0
47,Dominican Republic,18.7357,-70.1627,1/22/20,0.0
48,Ecuador,-1.8312,-78.1834,1/22/20,0.0
49,Egypt,26.820553000000004,30.802497999999996,1/22/20,0.0
50,El Salvador,13.7942,-88.8965,1/22/20,0.0
51,Equatorial Guinea,1.6508,10.2679,1/22/20,0.0
52,Eritrea,15.1794,39.7823,1/22/20,0.0
53,Estonia,58.5953,25.0136,1/22/20,0.0
